ID_mpwik,geometry
90533,POINT (6439126.37 5668047.03)
91745,POINT (6437863.23 5666319.93)
91747,POINT (6437818.4 5666368.1)
91749,POINT (6437781.35 5666392.9)
91771,POINT (6437744.64 5666343.88)
91781,POINT (6437795.43 5666350.9)
899203,POINT (6435404.87 5664975.39)
894106,POINT (6430206.41 5658829.11)
899204,POINT (6435394.4 5664979.14)
91803,POINT (6434018.98 5665917.4)
91809,POINT (6434307.88 5664627.8)
91811,POINT (6434276.44 5664595.68)
91813,POINT (6433935.97 5664670.69)
89595,POINT (6432506.68 5663510.36)
89597,POINT (6432556.66 5663488.48)
899205,POINT (6435393.84 5664984.26)
899206,POINT (6435386.71 5664980.24)
89651,POINT (6430668.4 5663110.97)
90381,POINT (6434617.27 5665073.16)
90383,POINT (6435099.99 5665286.26)
90385,POINT (6434516.58 5665029.84)
90391,POINT (6434651.09 5665057.28)
61128,POINT (6427835.37 5667238.97)
61050,POINT (6427775.21 5667376.89)
61052,POINT (6427761.8 5667341.32)
62296,POINT (6427212.28 5666086.31)
62298,POINT (6427204.74 5666083.93)
62300,POINT (6427285.59 5666177.04)
62304,POINT (6427232.87 5666071)
894114,POINT (6431447.61 5665468.41)
894116,POINT (6436038.31 5665144.53)
894123,POINT (6422209.18 5668035.11)
894124,POINT (6430116.17 5671939.58)
894127,POINT (6433913.73 5664227.24)
894128,POINT (6430114.67 5671917.39)
61044,POINT (6427737.25 5667377.88)
61046,POINT (6427761.12 5667351.29)
61048,POINT (6427762.18 5667333.98)
58382,POINT (6420981.25 5668153.93)
58384,POINT (6421113.52 5668163.58)
58390,POINT (6421109.05 5668218.31)
58392,POINT (6421103.97 5668273.48)
58394,POINT (6420999.04 5668258.16)
